# depth_mm,edep_keV_per_event
0.0002,66.706342
0.0006,67.560359
0.001,68.329269
0.0014,68.998351
0.0018,69.867023
0.0022,70.610499
0.0026,71.382177
0.003,72.240947
0.0034,73.184822
0.0038,73.949733
0.0042,75.057525
0.0046,76.029014
0.005,77.250284
0.0054,78.522598
0.0058,79.148043
0.0062,80.255116
0.0066,81.505006
0.007,82.649214
0.0074,83.866885
0.0078,85.390294
0.0082,86.762353
0.0086,88.140681
0.009,90.128442
0.0094,91.625938
0.0098,93.334808
0.0102,95.160995
0.0106,97.239985
0.011,99.482374
0.0114,101.75928
0.0118,104.2494
0.0122,106.73532
0.0126,110.01894
0.013,113.34106
0.0134,116.3309
0.0138,119.96084
0.0142,123.44857
0.0146,126.90493
0.015,130.2352
0.0154,132.27464
0.0158,131.7247
0.0162,124.17111
0.0166,104.43205
0.017,72.041011
0.0174,33.507764
0.0178,4.4118566
0.0182,0.086075198
0.0186,0.0010828913
0.019,0
0.0194,0
0.0198,0
0.0202,0
0.0206,0
0.021,0
0.0214,0
0.0218,0
0.0222,0
0.0226,0
0.023,0
0.0234,0
0.0238,0
0.0242,0
0.0246,0
0.025,0
0.0254,0
0.0258,0
0.0262,0
0.0266,0
0.027,0
0.0274,0
0.0278,0
0.0282,0
0.0286,0
0.029,0
0.0294,0
0.0298,0
0.0302,0
0.0306,0
0.031,0
0.0314,0
0.0318,0
0.0322,0
0.0326,0
0.033,0
0.0334,0
0.0338,0
0.0342,0
0.0346,0
0.035,0
0.0354,0
0.0358,0
0.0362,0
0.0366,0
0.037,0
0.0374,0
0.0378,0
0.0382,0
0.0386,0
0.039,0
0.0394,0
0.0398,0
0.0402,0
0.0406,0
0.041,0
0.0414,0
0.0418,0
0.0422,0
0.0426,0
0.043,0
0.0434,0
0.0438,0
0.0442,0
0.0446,0
0.045,0
0.0454,0
0.0458,0
0.0462,0
0.0466,0
0.047,0
0.0474,0
0.0478,0
0.0482,0
0.0486,0
0.049,0
0.0494,0
0.0498,0
0.0502,0
0.0506,0
0.051,0
0.0514,0
0.0518,0
0.0522,0
0.0526,0
0.053,0
0.0534,0
0.0538,0
0.0542,0
0.0546,0
0.055,0
0.0554,0
0.0558,0
0.0562,0
0.0566,0
0.057,0
0.0574,0
0.0578,0
0.0582,0
0.0586,0
0.059,0
0.0594,0
0.0598,0
0.0602,0
0.0606,0
0.061,0
0.0614,0
0.0618,0
0.0622,0
0.0626,0
0.063,0
0.0634,0
0.0638,0
0.0642,0
0.0646,0
0.065,0
0.0654,0
0.0658,0
0.0662,0
0.0666,0
0.067,0
0.0674,0
0.0678,0
0.0682,0
0.0686,0
0.069,0
0.0694,0
0.0698,0
0.0702,0
0.0706,0
0.071,0
0.0714,0
0.0718,0
0.0722,0
0.0726,0
0.073,0
0.0734,0
0.0738,0
0.0742,0
0.0746,0
0.075,0
0.0754,0
0.0758,0
0.0762,0
0.0766,0
0.077,0
0.0774,0
0.0778,0
0.0782,0
0.0786,0
0.079,0
0.0794,0
0.0798,0
